company,address,report publication year,internal manufacturing site
Fairchild Semiconductor International,"Crestwood Industrial Park, 125 Crestwood Road Mountain Top, Pennsylvania USA",2013,TRUE
Fairchild Semiconductor International,"MEPZ 1 Lapulapu City, Cebu Philippines",2013,TRUE
FLEXium Interconnect Inc.,"No. 1399 Hanpu Road, Hi-Tech Industrial Park,Kunshan, Jiangsu China",2013,TRUE
FLEXium Interconnect Inc.,"No. 23, Juguang 1st Street, Tafa Industrial Park, Daliao District Kaoshiung, Taiwan",2013,TRUE
"Flextronics International, Ltd.","Economic and Technology Development Development Zone Ganzhou, Jiangxi China",2013,TRUE
"Flextronics International, Ltd.","Flextronics Industrial Zone, Shi Da Road, Da Ling Shan Dongguan, Guangdong China",2013,TRUE
"Flextronics International, Ltd.","Mechanical Industrial Zone, Shida Road, Dalingshan Town Dong Guan, Guangdong China",2013,TRUE
"Flextronics International, Ltd.","No. 7, Jalan Keluli 1 Kawasan Perindustrian Bukit Raja Seksyen 7 Shah Alam, Selangor Malaysia",2013,TRUE
"Fortune Grand Enterprise Co., Ltd.","2nd Industrial Zone Dajintou, Dalang Town Dongguan, Guangdong China",2013,TRUE
"Fortune Grand Enterprise Co., Ltd.","No. 35, Chunqiu Rd, Panyang Industrial Zone Huangda Town, Xiang Cheng District Suzhou, Jiangsu China",2013,TRUE
"Foster Electric Co., Ltd.","Jiu Shui Keng Cun, Da Long Jie, Panyu Qu Guangzhou, Guangdong China",2013,TRUE
"Foster Electric Co., Ltd.","No. 138, Panjiang East Road, Gaozhou, Guangdong China",2013,TRUE
"Foster Electric Co., Ltd.","No. 1, Street 11,VSIP Bac Ninh, Tu Son, Bac Ninh Vietnam",2013,TRUE
"Foster Electric Co., Ltd.","No. 20, VSIP II Street 5, Vietnam Singapore Industrial Park II (VSIP II), Binh Duong Industry Service-Urban Complex, Thu Dau Mot District Ho Chi Minh City, Binh Duong Vietnam",2013,TRUE
"Foster Electric Co., Ltd.","Street 1, Hoa Cam Industrial Zone, Cam Le District, Danang, Vietnam",2013,TRUE
"Foster Electric Co., Ltd.","Workshop No. 1, Candy and Food Industrial Area, Chongzuo City Industrial Zone Chongzuo, Guangxi China",2013,TRUE
"Foster Electric Co., Ltd.","Workshop No. 1, Foshan (Yun Fu) Industrial Transfer Park, Du Yang Town, Yuncheng District, Yunfu, Guangdong China",2013,TRUE
"Foster Electric Co., Ltd.","Workshop No. 7 1 Zong Bu Road Nanning New and High-Tech Industrial Development Zone Nanning, Guangxi China",2013,TRUE
